Order_ID,Order_Date,Ship_Date,Ship_Days,Customer_ID,Customer_Segment,Region,State,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount_Pct,Discount_Amount,Shipping_Cost,Total_Sales,Cost_Per_Unit,Profit,Sales_Channel,Payment_Method,Customer_Rating,Returned
ORD-00001,2024-10-16,2024-10-18,2,CUST-3232,Corporate,Northeast,Pennsylvania,Clothing,Women's Apparel,Adidas Yoga Pants,57.15,2,10,11.43,5.59,102.87,32.43,38.01,Online,Gift Card,4,0
ORD-00002,2024-03-05,2024-03-06,1,CUST-3196,Consumer,Northeast,Massachusetts,Home & Kitchen,Furniture,IKEA Kallax Shelf,86.89,2,0,0.0,6.84,173.78,64.42,44.94,Online,PayPal,5,0
ORD-00003,2023-05-08,2023-05-10,2,CUST-2857,Small Business,Southwest,Nevada,Electronics,Monitors,Dell 24-inch FHD,207.22,3,10,62.17,5.91,559.49,137.9,145.79,Mobile App,Debit Card,5,0
ORD-00004,2024-10-12,2024-10-14,2,CUST-1229,Consumer,West,Washington,Home & Kitchen,Cookware,Lodge Cast Iron Skillet,30.54,2,10,6.11,15.67,54.97,17.23,20.51,Online,Gift Card,4,0
ORD-00005,2023-08-23,2023-08-29,6,CUST-3394,Consumer,West,Oregon,Sports & Outdoors,Cycling,Schwinn Hybrid Bike,363.16,1,20,72.63,12.9,290.53,222.59,67.94,In-Store,Debit Card,4,0
ORD-00006,2024-03-14,2024-03-18,4,CUST-3266,Consumer,Southwest,Nevada,Home & Kitchen,Appliances,Instant Pot Duo 7-in-1,85.91,2,0,0.0,20.83,171.82,49.13,73.56,In-Store,Gift Card,5,0
ORD-00007,2023-01-12,2023-01-17,5,CUST-3079,Consumer,West,California,Office Supplies,Printers,Epson EcoTank,193.15,1,0,0.0,19.38,193.15,106.36,86.79,Mobile App,Credit Card,4,0
ORD-00008,2024-09-15,2024-09-22,7,CUST-2990,Consumer,Northeast,Pennsylvania,Clothing,Activewear,Reebok Sports Bra,34.95,4,10,13.98,24.7,125.82,20.0,45.82,Online,Gift Card,5,0
ORD-00009,2023-03-12,2023-03-17,5,CUST-2529,Corporate,Southwest,Utah,Clothing,Women's Apparel,North Face Fleece,97.64,1,5,4.88,9.23,92.76,70.74,22.02,Mobile App,PayPal,2,1
ORD-00010,2024-03-24,2024-03-30,6,CUST-1974,Consumer,Southwest,Nevada,Electronics,Smartphones,Samsung Galaxy A54,351.88,1,0,0.0,0.0,351.88,234.95,116.93,In-Store,Credit Card,4,0
ORD-00011,2023-10-13,2023-10-14,1,CUST-1403,Consumer,Midwest,Ohio,Office Supplies,Paper Products,Moleskine Notebook,14.95,4,10,5.98,8.8,53.82,10.57,11.54,In-Store,Apple Pay,5,0
ORD-00012,2023-03-04,2023-03-08,4,CUST-1060,Small Business,Southeast,North Carolina,Electronics,Smartphones,Samsung Galaxy A54,347.26,1,5,17.36,23.46,329.9,210.34,119.56,Mobile App,Credit Card,2,1
ORD-00013,2023-04-06,2023-04-10,4,CUST-3276,Corporate,Southwest,New Mexico,Clothing,Accessories,Fossil Watch,135.22,1,15,20.28,0.0,114.94,78.82,36.12,Online,Apple Pay,3,0
ORD-00014,2024-11-08,2024-11-13,5,CUST-1278,Small Business,Northeast,Pennsylvania,Clothing,Men's Apparel,Columbia Jacket,88.31,2,0,0.0,23.38,176.62,49.46,77.7,Online,Credit Card,4,0
ORD-00015,2024-11-22,2024-11-28,6,CUST-2872,Consumer,Southeast,Tennessee,Clothing,Activewear,Reebok Sports Bra,35.54,1,0,0.0,10.21,35.54,23.56,11.98,In-Store,Apple Pay,1,1
ORD-00016,2023-11-20,2023-11-22,2,CUST-3166,Consumer,Southwest,Texas,Sports & Outdoors,Team Sports,Rawlings Baseball Glove,48.56,5,0,0.0,22.61,242.8,29.28,96.4,Online,Gift Card,4,0
ORD-00017,2023-01-09,2023-01-12,3,CUST-1208,Corporate,Midwest,Wisconsin,Home & Kitchen,Furniture,IKEA Kallax Shelf,92.17,1,20,18.43,9.2,73.74,53.56,20.18,Online,PayPal,4,0
ORD-00018,2023-04-05,2023-04-06,1,CUST-3385,Small Business,Midwest,Michigan,Electronics,Laptops,HP Pavilion x360,614.99,3,10,184.5,13.54,1660.47,429.41,372.24,Online,Debit Card,5,0
ORD-00019,2024-07-19,2024-07-20,1,CUST-1969,Corporate,Northeast,New Jersey,Electronics,Tablets,Samsung Galaxy Tab S6,341.89,4,15,205.13,9.98,1162.43,249.51,164.39,Online,Apple Pay,5,0
ORD-00020,2023-06-16,2023-06-19,3,CUST-1911,Corporate,Southwest,New Mexico,Sports & Outdoors,Fitness Equipment,Bowflex Dumbbells,365.07,2,0,0.0,21.2,730.14,259.36,211.42,Online,Apple Pay,5,0
ORD-00021,2023-07-24,2023-07-31,7,CUST-2356,Corporate,West,Colorado,Home & Kitchen,Cookware,Lodge Cast Iron Skillet,29.69,1,10,2.97,0.0,26.72,17.98,8.74,Online,Apple Pay,3,0
ORD-00022,2023-01-29,2023-01-30,1,CUST-3129,Corporate,Northeast,Pennsylvania,Clothing,Activewear,Puma Track Pants,49.22,1,10,4.92,24.67,44.3,34.81,9.49,Online,PayPal,3,0
ORD-00023,2024-07-05,2024-07-08,3,CUST-1521,Corporate,West,Washington,Home & Kitchen,Decor,Pottery Barn Throw Pillow,50.61,4,20,40.49,0.0,161.95,34.55,23.75,In-Store,PayPal,4,0
ORD-00024,2023-07-16,2023-07-22,6,CUST-1695,Consumer,Southeast,Virginia,Clothing,Activewear,Reebok Sports Bra,33.24,1,5,1.66,16.59,31.58,20.19,11.39,Online,Debit Card,3,0
ORD-00025,2024-11-05,2024-11-12,7,CUST-3024,Consumer,Midwest,Wisconsin,Home & Kitchen,Furniture,IKEA Kallax Shelf,87.28,2,0,0.0,14.49,174.56,48.43,77.7,Mobile App,Gift Card,2,1
ORD-00026,2024-02-14,2024-02-18,4,CUST-2812,Consumer,Northeast,New York,Electronics,Headphones,Sony WH-1000XM5,300.53,1,25,75.13,21.96,225.4,168.31,57.09,Online,Gift Card,5,0
ORD-00027,2024-09-19,2024-09-26,7,CUST-2112,Consumer,West,Arizona,Sports & Outdoors,Team Sports,Adidas Soccer Ball,24.93,4,10,9.97,17.74,89.75,15.0,29.75,Mobile App,Debit Card,2,0
ORD-00028,2023-12-10,2023-12-12,2,CUST-3358,Consumer,Midwest,Ohio,Clothing,Women's Apparel,Lululemon Tank,65.04,2,10,13.01,13.31,117.07,41.07,34.93,Mobile App,Gift Card,5,0
ORD-00029,2024-01-25,2024-01-29,4,CUST-1522,Consumer,Southeast,North Carolina,Home & Kitchen,Decor,Yankee Candle Set,36.04,2,10,7.21,10.45,64.87,26.29,12.29,Online,Apple Pay,4,0
ORD-00030,2024-09-29,2024-10-03,4,CUST-2726,Consumer,Midwest,Indiana,Office Supplies,Organizers,Pendaflex Folders,14.44,1,10,1.44,0.0,13.0,9.28,3.72,Online,PayPal,5,0
ORD-00031,2023-09-16,2023-09-18,2,CUST-1468,Consumer,West,Colorado,Electronics,Monitors,LG 27-inch 4K,355.24,5,0,0.0,20.07,1776.2,250.89,521.75,Online,Debit Card,3,0
ORD-00032,2024-07-31,2024-08-05,5,CUST-1311,Consumer,Southwest,Nevada,Home & Kitchen,Cookware,Lodge Cast Iron Skillet,30.64,2,25,15.32,11.21,45.96,21.62,2.72,Online,Apple Pay,2,1
ORD-00033,2024-08-29,2024-09-01,3,CUST-1432,Corporate,West,Washington,Electronics,Tablets,Amazon Fire HD 10,157.25,2,0,0.0,13.56,314.5,111.1,92.3,Online,Credit Card,5,0
ORD-00034,2024-03-19,2024-03-23,4,CUST-1354,Corporate,Southwest,Nevada,Clothing,Accessories,Ray-Ban Aviators,156.31,2,25,78.16,14.66,234.46,111.24,11.98,Mobile App,PayPal,5,0
ORD-00035,2023-10-13,2023-10-16,3,CUST-1782,Small Business,Southwest,New Mexico,Sports & Outdoors,Team Sports,Rawlings Baseball Glove,49.96,2,0,0.0,12.09,99.92,30.73,38.46,Online,PayPal,4,0
ORD-00036,2023-03-29,2023-03-31,2,CUST-2408,Consumer,Northeast,Connecticut,Sports & Outdoors,Team Sports,Wilson Basketball,29.96,2,10,5.99,0.0,53.93,21.23,11.47,Online,Gift Card,4,0
ORD-00037,2024-03-11,2024-03-18,7,CUST-3444,Consumer,Southwest,Utah,Home & Kitchen,Cookware,All-Clad Pan Set,243.25,1,0,0.0,19.85,243.25,168.88,74.37,In-Store,Apple Pay,2,0
ORD-00038,2023-10-17,2023-10-23,6,CUST-2960,Corporate,Southwest,New Mexico,Home & Kitchen,Appliances,Keurig K-Slim,110.37,1,0,0.0,16.06,110.37,66.76,43.61,Mobile App,Apple Pay,1,0
ORD-00039,2024-03-27,2024-03-29,2,CUST-2704,Small Business,Southeast,Florida,Home & Kitchen,Decor,Pottery Barn Throw Pillow,47.86,3,5,7.18,0.0,136.4,32.35,39.35,Mobile App,Credit Card,5,0
ORD-00040,2024-09-12,2024-09-17,5,CUST-1332,Consumer,Midwest,Wisconsin,Clothing,Activewear,Puma Track Pants,51.79,1,5,2.59,17.41,49.2,38.74,10.46,Mobile App,Debit Card,3,0
ORD-00041,2023-06-10,2023-06-17,7,CUST-1810,Corporate,Northeast,Massachusetts,Electronics,Smartphones,Samsung Galaxy A54,348.94,1,10,34.89,10.64,314.05,194.19,119.86,In-Store,PayPal,4,0
ORD-00042,2024-03-11,2024-03-12,1,CUST-3022,Consumer,Northeast,New Jersey,Clothing,Footwear,Nike Air Max 90,127.49,1,0,0.0,10.76,127.49,89.22,38.27,In-Store,Apple Pay,5,0
ORD-00043,2024-03-24,2024-03-31,7,CUST-3125,Consumer,Northeast,New York,Sports & Outdoors,Cycling,Garmin Edge 530,313.85,1,0,0.0,24.01,313.85,225.09,88.76,In-Store,Credit Card,4,0
ORD-00044,2024-10-29,2024-11-05,7,CUST-3253,Consumer,Southeast,North Carolina,Clothing,Activewear,Puma Track Pants,47.95,2,5,4.79,18.39,91.11,29.71,31.69,Online,Apple Pay,2,1
ORD-00045,2023-02-07,2023-02-11,4,CUST-1211,Consumer,Southeast,North Carolina,Home & Kitchen,Cookware,Lodge Cast Iron Skillet,30.03,5,5,7.51,15.84,142.64,22.45,30.39,Online,Gift Card,5,0
ORD-00046,2023-07-28,2023-07-29,1,CUST-1630,Consumer,Northeast,New Jersey,Home & Kitchen,Decor,Wall Art Canvas,60.77,1,0,0.0,11.21,60.77,43.14,17.63,In-Store,Credit Card,4,0
ORD-00047,2024-05-25,2024-05-30,5,CUST-2699,Consumer,Southwest,Oklahoma,Office Supplies,Printers,Brother Inkjet,146.15,3,25,109.61,23.43,328.84,96.5,39.34,In-Store,Credit Card,2,1
ORD-00048,2023-12-15,2023-12-22,7,CUST-1978,Consumer,Midwest,Illinois,Home & Kitchen,Cookware,All-Clad Pan Set,259.12,2,10,51.82,11.64,466.42,165.66,135.1,In-Store,PayPal,4,1
ORD-00049,2024-08-08,2024-08-10,2,CUST-1411,Consumer,Southeast,Virginia,Electronics,Tablets,Amazon Fire HD 10,148.21,1,20,29.64,18.03,118.57,110.81,7.76,In-Store,Gift Card,5,0
ORD-00050,2024-03-26,2024-03-30,4,CUST-2998,Small Business,Northeast,Connecticut,Electronics,Smartphones,iPhone SE,411.71,3,25,308.78,17.46,926.35,290.79,53.98,In-Store,Gift Card,3,0
ORD-00051,2024-07-08,2024-07-14,6,CUST-2535,Consumer,Northeast,New York,Clothing,Footwear,Nike Air Max 90,124.77,2,5,12.48,13.86,237.06,84.44,68.18,Online,PayPal,4,0
ORD-00052,2024-03-17,2024-03-22,5,CUST-2905,Consumer,Northeast,Massachusetts,Sports & Outdoors,Team Sports,Rawlings Baseball Glove,47.89,3,0,0.0,9.81,143.67,34.68,39.63,Online,PayPal,3,0
ORD-00053,2023-10-22,2023-10-26,4,CUST-2209,Consumer,Midwest,Ohio,Electronics,Headphones,AirPods Pro 2,261.54,5,0,0.0,11.03,1307.7,179.96,407.9,Mobile App,Apple Pay,4,0
ORD-00054,2023-01-23,2023-01-26,3,CUST-2026,Consumer,Southwest,Nevada,Home & Kitchen,Furniture,West Elm Desk,366.57,3,15,164.96,21.65,934.75,268.37,129.64,Mobile App,PayPal,3,0
ORD-00055,2024-11-25,2024-11-29,4,CUST-3055,Consumer,West,Washington,Electronics,Laptops,HP Pavilion x360,621.48,3,0,0.0,11.52,1864.44,358.15,789.99,Online,Gift Card,5,0
ORD-00056,2023-10-07,2023-10-13,6,CUST-1057,Small Business,West,Oregon,Sports & Outdoors,Cycling,Garmin Edge 530,299.04,3,15,134.57,9.5,762.55,168.98,255.61,In-Store,Gift Card,2,1
ORD-00057,2023-09-28,2023-10-03,5,CUST-2237,Corporate,Midwest,Indiana,Home & Kitchen,Cookware,All-Clad Pan Set,246.78,1,10,24.68,17.38,222.1,169.04,53.06,Online,Credit Card,3,0
ORD-00058,2024-10-26,2024-11-01,6,CUST-2699,Corporate,Southeast,Georgia,Electronics,Laptops,HP Pavilion x360,613.28,5,0,0.0,12.41,3066.4,403.24,1050.2,In-Store,Gift Card,4,0
ORD-00059,2024-11-01,2024-11-07,6,CUST-2862,Small Business,Southeast,Virginia,Home & Kitchen,Furniture,West Elm Desk,365.76,1,5,18.29,0.0,347.47,263.75,83.72,Online,PayPal,1,1
ORD-00060,2023-04-04,2023-04-06,2,CUST-2135,Consumer,Midwest,Wisconsin,Electronics,Laptops,HP Pavilion x360,634.06,1,0,0.0,9.13,634.06,357.43,276.63,Mobile App,Debit Card,5,0
ORD-00061,2023-05-29,2023-05-31,2,CUST-2950,Consumer,Southwest,Utah,Home & Kitchen,Appliances,Instant Pot Duo 7-in-1,85.62,2,0,0.0,11.47,171.24,60.62,50.0,Online,Apple Pay,4,0
ORD-00062,2024-04-04,2024-04-08,4,CUST-1442,Consumer,West,Arizona,Office Supplies,Desks & Chairs,Herman Miller Aeron,1240.63,2,20,496.25,15.42,1985.01,876.69,231.63,In-Store,Apple Pay,5,0
ORD-00063,2024-05-17,2024-05-22,5,CUST-1468,Consumer,West,Colorado,Electronics,Laptops,HP Pavilion x360,615.82,2,0,0.0,11.49,1231.64,416.67,398.3,In-Store,Gift Card,3,0
ORD-00064,2024-11-01,2024-11-04,3,CUST-1381,Consumer,West,Washington,Sports & Outdoors,Running,Brooks Ghost 15,138.57,1,15,20.79,11.24,117.78,96.43,21.35,Online,Apple Pay,2,1
ORD-00065,2024-03-18,2024-03-25,7,CUST-2440,Small Business,Northeast,Pennsylvania,Clothing,Activewear,Under Armour Shorts,39.31,2,10,7.86,18.3,70.76,22.58,25.6,Online,Credit Card,5,0
ORD-00066,2023-04-17,2023-04-21,4,CUST-1107,Small Business,Midwest,Ohio,Clothing,Accessories,Ray-Ban Aviators,160.89,3,5,24.13,9.51,458.54,92.19,181.97,Mobile App,Gift Card,4,0
ORD-00067,2024-09-15,2024-09-19,4,CUST-2858,Corporate,Southwest,Oklahoma,Electronics,Smartphones,iPhone SE,423.1,2,0,0.0,16.32,846.2,233.22,379.76,Online,Credit Card,2,0
ORD-00068,2023-12-16,2023-12-20,4,CUST-3098,Consumer,Southeast,North Carolina,Office Supplies,Organizers,Bankers Box Set,25.63,4,0,0.0,0.0,102.52,14.35,45.12,In-Store,Apple Pay,4,0
ORD-00069,2023-04-27,2023-04-29,2,CUST-1491,Consumer,Southeast,Florida,Home & Kitchen,Storage,ClosetMaid Organizer,68.03,2,0,0.0,0.0,136.06,50.81,34.44,Online,Debit Card,5,0
ORD-00070,2023-01-08,2023-01-14,6,CUST-3348,Consumer,Southeast,Virginia,Clothing,Women's Apparel,Lululemon Tank,68.4,2,0,0.0,12.93,136.8,46.76,43.28,Online,Credit Card,4,0
ORD-00071,2024-02-19,2024-02-20,1,CUST-2621,Consumer,West,Colorado,Home & Kitchen,Furniture,Wayfair Sofa,515.06,1,0,0.0,23.39,515.06,346.96,168.1,Online,Apple Pay,4,0
ORD-00072,2023-11-14,2023-11-21,7,CUST-1308,Consumer,Northeast,New Jersey,Electronics,Monitors,ASUS ProArt 27,447.44,1,5,22.37,21.37,425.07,277.36,147.71,Online,PayPal,2,1
ORD-00073,2023-07-01,2023-07-07,6,CUST-2125,Consumer,Southwest,Nevada,Sports & Outdoors,Team Sports,Rawlings Baseball Glove,50.31,1,20,10.06,22.27,40.25,34.06,6.19,Online,Apple Pay,3,0
ORD-00074,2024-08-28,2024-09-02,5,CUST-1168,Consumer,Northeast,Massachusetts,Electronics,Tablets,Samsung Galaxy Tab S6,340.94,1,0,0.0,22.1,340.94,192.75,148.19,In-Store,Gift Card,3,0
ORD-00075,2024-04-05,2024-04-11,6,CUST-3141,Corporate,Southwest,Utah,Clothing,Footwear,New Balance 574,86.05,1,0,0.0,11.86,86.05,49.11,36.94,Online,Credit Card,2,0
ORD-00076,2024-09-16,2024-09-21,5,CUST-3386,Consumer,Northeast,Pennsylvania,Home & Kitchen,Decor,Yankee Candle Set,33.42,3,10,10.03,11.58,90.23,22.6,22.43,In-Store,Gift Card,4,0
ORD-00077,2024-11-10,2024-11-17,7,CUST-3082,Small Business,Southeast,Virginia,Clothing,Activewear,Reebok Sports Bra,34.56,4,0,0.0,18.39,138.24,24.48,40.32,Mobile App,Gift Card,1,1
ORD-00078,2024-01-06,2024-01-13,7,CUST-1154,Consumer,Northeast,Pennsylvania,Clothing,Women's Apparel,Lululemon Tank,66.14,4,5,13.23,0.0,251.33,38.2,98.53,Mobile App,Gift Card,4,0
